title,description,skill,link,img url
Yazýlým Uzmaný,Baþbuð Oto Yedek Parça Ýth.Ýhr.San.Tic.A.Þ,"javascript, bootstrap, java, management, microsoft, erp, microsoft sql server, sql",https://www.kariyer.net//is-ilani/basbug-oto-yedek-parca-ith-ihr-san-tic-a-s-yazilim-uzmani-3471785,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/23616_202718.jpg
Ax Yazýlým Uzmaný,Bezmialem Vakýf Üniversitesi,"dynamics, sql, qlikview",https://www.kariyer.net//is-ilani/bezmialem-vakif-universitesi-ax-yazilim-uzmani-3469379,
Yazýlým Uzmaný,Netlog Lojistik Hizmetleri A.Þ.,"javascript, bootstrap, management, ajax, mvc, wpf, design, html, xml, json, css, sql",https://www.kariyer.net//is-ilani/netlog-lojistik-hizmetleri-a-s-yazilim-uzmani-2490292,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/7391_189695.jpg
Senior Full Stack Developer,FUZUL TASARRUF FÝNANSMAN A.Þ.,"javascript, bootstrap, restful, html, css, typescript",https://www.kariyer.net//is-ilani/fuzul-tasarruf-finansman-a-s-senior-full-stack-developer-2283255,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/fz_log.jpg
Hbys Yazýlým Uzmaný,AKGÜN BÝLGÝSAYAR PROGRAM VE HÝZMETLERÝ SANAYÝ TÝCARET ANONÝM ÞÝRKETÝ,"java, j2ee, git, oracle",https://www.kariyer.net//is-ilani/akgun-bilgisayar-program-ve-hizmetleri-sanayi-tica-hbys-yazilim-uzmani-3459648,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/akgunbil_logo.gif
Yazýlým Uzmaný,AKGÜN BÝLGÝSAYAR PROGRAM VE HÝZMETLERÝ SANAYÝ TÝCARET ANONÝM ÞÝRKETÝ,"scrum, git, design, postgresql, oracle",https://www.kariyer.net//is-ilani/akgun-bilgisayar-program-ve-hizmetleri-sanayi-tica-yazilim-uzmani-3479414,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/akgunbil_logo.gif
Software Specialist,Katýlýmevim Tasarruf Finansman A.Þ,"engineering, microsoft, scrum, mvc, software development, design, xml, web services, json, sql, wpf",https://www.kariyer.net//is-ilani/katilimevim-tasarruf-finansman-a-s-software-specialist-3395344,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/209792_253349.jpg
Yazýlým Uzmaný,Teklas Kauçuk,"html5, mvc, erp, sql",https://www.kariyer.net//is-ilani/teklas-kaucuk-yazilim-uzmani-3015761,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/1608_244133.jpg
Frontend Yazýlým Geliþtirme Uzmaný,Ýstanbul Eczacýlar Kooperatifi,"javascript, html5, scrum, mvc, json",https://www.kariyer.net//is-ilani/istanbul-eczacilar-kooperatifi-frontend-yazilim-gelistirme-uzmani-3465747,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/istecza_logo.gif
Yazýlým Uzmaný,ARSLAN ALÜMÝNYUM A.Þ.,"javascript, python, django, mysql",https://www.kariyer.net//is-ilani/arslan-aluminyum-a-s-yazilim-uzmani-3343708,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/arsalan alüimyum.gif
Full-Stack .Net Yazýlým Uzmaný,ZÝRVEDEKÝ BEYÝNLER,"css, javascript, programming, bootstrap, iis, mvc, redis, design, postgresql, elasticsearch",https://www.kariyer.net//is-ilani/zirvedeki-beyinler-full-stack-net-yazilim-uzmani-3484025,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/gcumn0gy.14r.png
Frontend Developer,KARACA ZÜCCACÝYE TÝCARET VE SAN A.Þ.,"javascript, bootstrap, git, html, flex, css",https://www.kariyer.net//is-ilani/karaca-zuccaciye-ticaret-ve-san-a-s-frontend-developer-3459310,https://img-kariyer.mncdn.com/UploadFiles/Clients/Logolar/8074_232187.jpg
